detector,scenario,magnitude,n_streams,n_machines,bootstrap_draws,auc,auc_lo,auc_hi
wasserstein_max,incremental_shift,0.5,22,11,2000,0.7127,0.6284,0.7953
wasserstein_max,incremental_shift,1.0,22,11,2000,0.7446,0.6426,0.8437
wasserstein_max,incremental_shift,2.0,22,11,2000,0.7539,0.6526,0.8478
wasserstein_max,incremental_shift,4.0,22,11,2000,0.8519,0.7835,0.918
wasserstein_max,sudden_shift,0.5,22,11,2000,0.7374,0.6589,0.8158
wasserstein_max,sudden_shift,1.0,22,11,2000,0.678,0.5653,0.7877
wasserstein_max,sudden_shift,2.0,22,11,2000,0.8231,0.7283,0.9079
wasserstein_max,sudden_shift,4.0,22,11,2000,0.9726,0.9409,0.9951
wasserstein_max,variance_shift,0.5,22,11,2000,0.7305,0.6489,0.8082
wasserstein_max,variance_shift,1.0,22,11,2000,0.7884,0.6861,0.8791
wasserstein_max,variance_shift,2.0,22,11,2000,0.9034,0.846,0.9523
wasserstein_max,variance_shift,4.0,22,11,2000,0.9663,0.9442,0.9844
wasserstein_max_thinned,correlation_break,0.0,22,11,2000,0.5476,0.4669,0.6236
wasserstein_max_thinned,gradual_shift,0.5,22,11,2000,0.6786,0.583,0.7744
wasserstein_max_thinned,gradual_shift,1.0,22,11,2000,0.7056,0.628,0.7788
wasserstein_max_thinned,gradual_shift,2.0,22,11,2000,0.7821,0.685,0.8695
wasserstein_max_thinned,gradual_shift,4.0,22,11,2000,0.8811,0.821,0.9353
wasserstein_max_thinned,incremental_shift,0.5,22,11,2000,0.6664,0.553,0.7685
wasserstein_max_thinned,incremental_shift,1.0,22,11,2000,0.7119,0.6213,0.804
wasserstein_max_thinned,incremental_shift,2.0,22,11,2000,0.6832,0.6071,0.7573
wasserstein_max_thinned,incremental_shift,4.0,22,11,2000,0.8078,0.7386,0.8716
wasserstein_max_thinned,sudden_shift,0.5,22,11,2000,0.6437,0.5739,0.7184
wasserstein_max_thinned,sudden_shift,1.0,22,11,2000,0.7313,0.617,0.8328
wasserstein_max_thinned,sudden_shift,2.0,22,11,2000,0.7752,0.6778,0.8628
wasserstein_max_thinned,sudden_shift,4.0,22,11,2000,0.8687,0.8007,0.926
wasserstein_max_thinned,variance_shift,0.5,22,11,2000,0.6402,0.5548,0.7188
wasserstein_max_thinned,variance_shift,1.0,22,11,2000,0.7102,0.6376,0.7782
wasserstein_max_thinned,variance_shift,2.0,22,11,2000,0.7981,0.7563,0.8409
wasserstein_max_thinned,variance_shift,4.0,22,11,2000,0.8766,0.8082,0.9377
