machine,detector,policy,value,achieved_alarms_per_window
machine-3-5,js_max_thinned,fixed,0.9573049180027416,0.125
machine-3-5,ks_bonferroni,fixed,10.0,0.0
machine-3-5,ks_max,fixed,0.7921999999999999,0.125
machine-3-5,ks_max_thinned,fixed,0.8077922077922077,0.125
machine-3-5,pca_recon,fixed,2.7788938438770163,0.125
machine-3-5,psi_max,fixed,12.786529953271534,0.125
machine-3-5,psi_max_thinned,fixed,20.524136825146137,0.10416666666666667
machine-3-5,random,fixed,0.8502073632775552,0.125
machine-3-5,wasserstein_max,fixed,6.541809775494449,0.125
machine-3-5,wasserstein_max_thinned,fixed,9.991026181069632,0.125
machine-3-6,c2st,fixed,0.9636574359035948,0.125
machine-3-6,c2st_thinned,fixed,0.3999999999999999,0.125
machine-3-6,iforest_mean,fixed,0.013356754849337849,0.125
machine-3-6,js_max,fixed,0.08531389653137349,0.125
machine-3-6,js_max_thinned,fixed,0.5333210089309817,0.125
machine-3-6,ks_bonferroni,fixed,10.0,0.0
machine-3-6,ks_max,fixed,0.2604,0.125
machine-3-6,ks_max_thinned,fixed,0.4183006535947712,0.125
machine-3-6,pca_recon,fixed,1.3967119783966304,0.125
machine-3-6,psi_max,fixed,0.41863447118126335,0.125
machine-3-6,psi_max_thinned,fixed,10.296511654083798,0.125
machine-3-6,random,fixed,0.8608738235161721,0.125
machine-3-6,wasserstein_max,fixed,0.4159215452892449,0.125
machine-3-6,wasserstein_max_thinned,fixed,9.542365009472926,0.125
machine-3-7,c2st,fixed,0.9117700000000002,0.125
machine-3-7,c2st_thinned,fixed,0.6388888888888888,0.125
machine-3-7,iforest_mean,fixed,0.020516643876984708,0.125
machine-3-7,js_max,fixed,0.20710773050799675,0.125
machine-3-7,js_max_thinned,fixed,0.5910496136671693,0.125
machine-3-7,ks_bonferroni,fixed,10.0,0.0
machine-3-7,ks_max,fixed,0.54335,0.10416666666666667
machine-3-7,ks_max_thinned,fixed,0.6428571428571428,0.10416666666666667
machine-3-7,pca_recon,fixed,36.20887174328145,0.125
machine-3-7,psi_max,fixed,2.171144947332774,0.125
machine-3-7,psi_max_thinned,fixed,9.690645316701776,0.125
machine-3-7,random,fixed,0.8912600629344569,0.125
machine-3-7,wasserstein_max,fixed,0.5161064427150994,0.125
machine-3-7,wasserstein_max_thinned,fixed,1.625098039215687,0.125
machine-3-8,c2st,fixed,0.993668,0.125
machine-3-8,c2st_thinned,fixed,0.8888888888888886,0.125
machine-3-8,iforest_mean,fixed,0.02029490004633311,0.125
machine-3-8,js_max,fixed,0.7937487938286059,0.125
machine-3-8,js_max_thinned,fixed,0.8148904461078055,0.10416666666666667
machine-3-8,ks_bonferroni,fixed,10.0,0.0
machine-3-8,ks_max,fixed,0.8697,0.125
machine-3-8,ks_max_thinned,fixed,0.9130434782608696,0.125
machine-3-8,pca_recon,fixed,6003.425659939202,0.125
machine-3-8,psi_max,fixed,16.61536142290832,0.125
machine-3-8,psi_max_thinned,fixed,20.466593009364367,0.10416666666666667
machine-3-8,random,fixed,0.8701653710580747,0.125
machine-3-8,wasserstein_max,fixed,2.6789194314054057,0.125
machine-3-8,wasserstein_max_thinned,fixed,2.7471295005787564,0.125
machine-3-9,c2st,fixed,1.0,0.0
machine-3-9,c2st_thinned,fixed,1.0,0.0
machine-3-9,iforest_mean,fixed,0.04383889927063467,0.125
machine-3-9,js_max,fixed,0.9929039642993887,0.125
machine-3-9,js_max_thinned,fixed,0.8909436170742318,0.08333333333333333
machine-3-9,ks_bonferroni,fixed,10.0,0.0
machine-3-9,ks_max,fixed,1.0,0.0
machine-3-9,ks_max_thinned,fixed,1.0,0.0
machine-3-9,pca_recon,fixed,3.948559390504199,0.125
machine-3-9,psi_max,fixed,20.71509366283695,0.08333333333333333
machine-3-9,psi_max_thinned,fixed,20.615903221436188,0.08333333333333333
machine-3-9,random,fixed,0.8695765678900047,0.125
machine-3-9,wasserstein_max,fixed,5.325980346658987,0.125
machine-3-9,wasserstein_max_thinned,fixed,5.883545838936604,0.10416666666666667
